surface,count,year_counts,context_count,first_context
environments,2,"{""2022"": 1, ""2024"": 1}",2,"Zoos are, in that sense, similar to natural history and archeology museums, serving to satisfy our need for contact with these living creatures while leaving the vast majority undisturbed in their natural environments.: Emma Marris selectively describes and misrepresents the findings of our research."
encounter,2,"{""2022"": 1, ""2025"": 1}",1,"They afford an opportunity for people from all backgrounds to encounter a range of animals, from drone bees to springbok or salmon, to better understand the natural world we live in."
bees,2,"{""2022"": 1, ""2025"": 1}",2,"They afford an opportunity for people from all backgrounds to encounter a range of animals, from drone bees to springbok or salmon, to better understand the natural world we live in."
spare,2,"{""2022"": 1, ""2023"": 1}",1,Zoos which spare no effort to take care of animals should not be subjected to unfair criticism.
subjected,2,"{""2022"": 1, ""2023"": 1}",2,Zoos which spare no effort to take care of animals should not be subjected to unfair criticism.
spend,2,"{""2022"": 1, ""2026"": 1}",2,To pressure zoos to spend less on their animals would lead to inhumane outcomes for the precious creatures in their care.
save,2,"{""2022"": 1, ""2026"": 1}",1,Zoos save people trips to wilderness areas and thus contribute to wildlife conservation.
alternative,2,"{""2022"": 1, ""2026"": 1}",2,"For wild animals that cannot be returned to their natural habitats, zoos offer the best alternative."
closed,2,"{""2022"": 1, ""2025"": 1}",2,Zoos should have been closed down as they prioritize money making over animals' wellbeing.
link,2,"{""2022"": 1, ""2026"": 1}",1,Marris distorts our findings which actually prove that zoos serve as an indispensable link between man and nature.
paris,2,"{""2022"": 1, ""2025"": 1}",1,"There are around 40 official do-it-yourself biology centres across the globe in locations including Paris, London, Sydney, and Tel Aviv."
forces,2,"{""2022"": 1, ""2023"": 1}",0,
unknown,2,"{""2022"": 1, ""2025"": 1}",1,"It was also, and this is unknown even to many people well read about the period, a battle between those who made codes and those who broke them."
codes,2,"{""2022"": 2}",2,"It was also, and this is unknown even to many people well read about the period, a battle between those who made codes and those who broke them."
broke,2,"{""2022"": 1, ""2024"": 1}",2,"It was also, and this is unknown even to many people well read about the period, a battle between those who made codes and those who broke them."
napoleonic,2,"{""2022"": 2}",1,"There may have been many spies and intelligence officers during the Napoleonic Wars, but it is usually extremely difficult to find the material they actually provided or worked on."
oman's,2,"{""2022"": 2}",0,
volume,2,"{""2022"": 1, ""2026"": 1}",1,"Even as California lost a huge volume of production to other locations, there was still plenty of film production taking place in Los Angeles before this year."
attached,2,"{""2022"": 1, ""2024"": 1}",0,
appendix,2,"{""2022"": 2}",0,
scovell,2,"{""2022"": 2}",1,"It listed many documents in code that had been captured from the French army of Spain, and whose secrets had been revealed by the work of one George Scovell, an officer in British headquarters."
documents,2,"{""2022"": 1, ""2025"": 1}",1,"It listed many documents in code that had been captured from the French army of Spain, and whose secrets had been revealed by the work of one George Scovell, an officer in British headquarters."
code,2,"{""2022"": 2}",2,"It listed many documents in code that had been captured from the French army of Spain, and whose secrets had been revealed by the work of one George Scovell, an officer in British headquarters."
revealed,2,"{""2022"": 1, ""2025"": 1}",2,"It listed many documents in code that had been captured from the French army of Spain, and whose secrets had been revealed by the work of one George Scovell, an officer in British headquarters."
headquarters,2,"{""2022"": 2}",1,"It listed many documents in code that had been captured from the French army of Spain, and whose secrets had been revealed by the work of one George Scovell, an officer in British headquarters."
convinced,2,"{""2022"": 1, ""2024"": 1}",2,I became convinced that this story was every bit as exciting and significant as that of Enigma and the breaking of German codes in the Second World War.
german,2,"{""2022"": 1, ""2026"": 1}",2,I became convinced that this story was every bit as exciting and significant as that of Enigma and the breaking of German codes in the Second World War.
office,2,"{""2022"": 1, ""2026"": 1}",1,"If, like most business people, you spend your life dashing from office to plane, train to home, boardroom to washroom, what you really need to do is stay in more, sit down — and read a book."
extensive,2,"{""2022"": 1, ""2023"": 1}",0,
priceless,2,"{""2022"": 1, ""2026"": 1}",1,"What was more, many original French dispatches had been preserved in this collection, which I realized was priceless."
extremely,2,"{""2022"": 1, ""2025"": 1}",2,"There may have been many spies and intelligence officers during the Napoleonic Wars, but it is usually extremely difficult to find the material they actually provided or worked on."
speak,2,"{""2022"": 1, ""2023"": 1}",2,"Just as the code breaking has its wider relevance in the struggle for Spain, so his attempts to make his way up the promotion ladder speak volumes about British society."
volumes,2,"{""2022"": 1, ""2024"": 1}",1,"Just as the code breaking has its wider relevance in the struggle for Spain, so his attempts to make his way up the promotion ladder speak volumes about British society."
caravan,2,"{""2023"": 2}",2,"The word caravanserai is a combination of the Persian words karvan, which means a group of travellers or a caravan, and sardy, a palace or enclosed building."
reasons,2,"{""2023"": 1, ""2024"": 1}",1,"The term caravan was used to describe groups of people who travelled together across the ancient network for safety reasons, such as merchants, travellers or pilgrims."
merchants,2,"{""2023"": 2}",2,"The term caravan was used to describe groups of people who travelled together across the ancient network for safety reasons, such as merchants, travellers or pilgrims."
routes,2,"{""2023"": 1, ""2024"": 1}",2,"The researchers are convinced that the elephants always know precisely where they are in relation to all the resources they need, and can therefore take shortcuts, as well as following familiar routes."
safe,2,"{""2023"": 1, ""2024"": 1}",2,"Nothing is absolutely safe, nowhere."
extreme,2,"{""2023"": 2}",1,Travellers on the Silk Road faced the possibility of being attacked by thieves or being subjected to extreme weather conditions.
day's,2,"{""2023"": 1, ""2024"": 1}",0,
interaction,2,"{""2023"": 1, ""2024"": 1}",2,"The miracle of the Chesapeake Bay lies not in its depths, but in the complexity of its natural construction, the interaction of fresh and saline waters, and the mix of land and water."
cultures,2,"{""2023"": 1, ""2024"": 1}",2,"Stealing artifacts from other peoples' cultures is obscene; it robs not only the physical objects, but the dignity and spirit of their creators."
stop,2,"{""2023"": 2}",1,"Indeed, it was frequently the first stop for merchants looking to sell their wares and stock up on supplies for their own journeys."
occupied,2,"{""2023"": 1, ""2024"": 1}",1,"As well as making access both in and out of buildings easier for people, the difference in the way many of these doors open helps reduce the total area occupied by them."
apart,2,"{""2023"": 1, ""2026"": 1}",0,
accepted,2,"{""2023"": 2}",0,
opposed,2,"{""2023"": 2}",0,
occasion,2,"{""2023"": 1, ""2024"": 1}",1,"When finding their way to waterholes, they headed off in exactly the right direction, on one occasion from a distance of roughly thirty miles."
comparison,2,"{""2023"": 1, ""2026"": 1}",0,
spite,2,"{""2023"": 1, ""2025"": 1}",0,
completing,2,"{""2023"": 2}",0,
aided,2,"{""2023"": 1, ""2025"": 1}",1,Caravanserais were also an important marketplace for commodities and aided in the trade of goods along the Silk Road.
heat,2,"{""2023"": 1, ""2025"": 1}",1,"Established in an old paper mill, it is powered by a nearby river and its remote heat warms the people who live in the surrounding town of Kajaani."
hardy,2,"{""2023"": 2}",0,
panic,2,"{""2023"": 2}",1,"There are as many scientists working against all the panic of global climate change as there are those who are pushing it, she claims."
pushing,2,"{""2023"": 1, ""2024"": 1}",2,"There are as many scientists working against all the panic of global climate change as there are those who are pushing it, she claims."
quinn,2,"{""2023"": 2}",1,"Board members like her casually dismiss the career work of scholars and scientists as just another misguided opinion, says Dan Quinn, senior communications strategist at the Texas Freedom Network, a non-profit group that monitors public education."
non-profit,2,"{""2023"": 2}",1,"Board members like her casually dismiss the career work of scholars and scientists as just another misguided opinion, says Dan Quinn, senior communications strategist at the Texas Freedom Network, a non-profit group that monitors public education."
fierce,2,"{""2023"": 1, ""2024"": 1}",1,"Such debates reflect fierce discussions across the US, as researchers, policymakers, teachers and students step up demands for a greater focus on teaching about the facts of climate change in schools."
facts,2,"{""2023"": 1, ""2026"": 1}",2,"Such debates reflect fierce discussions across the US, as researchers, policymakers, teachers and students step up demands for a greater focus on teaching about the facts of climate change in schools."
grade,2,"{""2023"": 2}",0,
director,2,"{""2023"": 2}",1,"We are at a crisis level on the supply of rental housing, said Nick Taylor, executive director of the Workforce Housing Coalition of the Greater Seacoast."
setting,2,"{""2023"": 1, ""2025"": 1}",1,"They pool resources, collaborate, think outside the box, and find solutions and ways around obstacles to explore science for the sake of science without the traditional boundaries of working inside a formal setting."
state-level,2,"{""2023"": 2}",0,
subjects,2,"{""2023"": 2}",1,"Another issue is that while climate change is well integrated into some subjects and at some ages—such as earth and space sciences in high schools—it is not as well represented in curricula for younger children and in subjects that are more widely taught, such as biology and chemistry."
younger,2,"{""2023"": 1, ""2024"": 1}",2,"Another issue is that while climate change is well integrated into some subjects and at some ages—such as earth and space sciences in high schools—it is not as well represented in curricula for younger children and in subjects that are more widely taught, such as biology and chemistry."
prominent,2,"{""2023"": 2}",2,It is also less prominent in many social studies courses.
shift,2,"{""2023"": 1, ""2024"": 1}",1,"This abrupt shift to an intensive mothering narrative, which suggests that mothers should manage childcare alone, was likely to have been harmful."
atmosphere,2,"{""2023"": 1, ""2025"": 1}",0,
reluctant,2,"{""2023"": 1, ""2025"": 1}",0,
rewrite,2,"{""2023"": 1, ""2025"": 1}",0,
cater,2,"{""2023"": 1, ""2026"": 1}",0,
england,2,"{""2023"": 2}",0,
buy,2,"{""2023"": 2}",1,We are hopeful with our shops now open again that normality will return and that we will be allowed to buy appropriately.
hampshire,2,"{""2023"": 2}",2,"In New Hampshire, where the rental vacancy rate has dropped below 1 percent, housing advocates fear unchecked short-term rentals will put further pressure on an already strained market."
vacancy,2,"{""2023"": 2}",1,"In New Hampshire, where the rental vacancy rate has dropped below 1 percent, housing advocates fear unchecked short-term rentals will put further pressure on an already strained market."
workforce,2,"{""2023"": 1, ""2026"": 1}",2,"We are at a crisis level on the supply of rental housing, said Nick Taylor, executive director of the Workforce Housing Coalition of the Greater Seacoast."
coalition,2,"{""2023"": 1, ""2024"": 1}",2,"We are at a crisis level on the supply of rental housing, said Nick Taylor, executive director of the Workforce Housing Coalition of the Greater Seacoast."
tourism,2,"{""2023"": 2}",0,
large-scale,2,"{""2023"": 1, ""2025"": 1}",1,"Issues arise, however, when developers attempt to create large-scale short-term rental facilities—de facto hotels—to bypass taxes and regulations."
regulated,2,"{""2023"": 2}",1,"For AI to be successful, data needs to be accessible, but the use of personal data is becoming more regulated and the automated sharing of data is becoming more difficult."
charlie,2,"{""2023"": 1, ""2025"": 1}",2,"At the end of 2018, Governor Charlie Baker of Massachusetts signed a bill to rein in those potential investor-buyers."
signed,2,"{""2023"": 2}",1,"At the end of 2018, Governor Charlie Baker of Massachusetts signed a bill to rein in those potential investor-buyers."
host,2,"{""2023"": 1, ""2025"": 1}",2,"The bill requires every rental host to register with the state, mandates they carry insurance, and opens the potential for local taxes on top of a new state levy."
register,2,"{""2023"": 2}",1,"The bill requires every rental host to register with the state, mandates they carry insurance, and opens the potential for local taxes on top of a new state levy."
city's,2,"{""2023"": 1, ""2025"": 1}",0,
registration,2,"{""2023"": 2}",1,"Hom said similar registration requirements could benefit struggling cities and towns, but if we want to make a change in the housing market, the main one is we have to build a lot more."
efficient,2,"{""2023"": 1, ""2024"": 1}",1,"According to Sichel, although the falling price of nails was driven partly by cheaper iron and cheaper energy, most of the credit goes to nail manufacturers who simply found more efficient ways to turn steel into nails."
inadequate,2,"{""2023"": 1, ""2026"": 1}",0,
nearest,2,"{""2023"": 1, ""2024"": 1}",1,"What is more, they almost always seem to choose the nearest waterhole."
bench,2,"{""2023"": 1, ""2026"": 1}",0,
prepared,2,"{""2023"": 2}",1,"Therefore, unless customers are prepared to sign release agreements, the use of AI may become somewhat restricted in the future."
daughter,2,"{""2023"": 1, ""2025"": 1}",0,
james,2,"{""2023"": 1, ""2026"": 1}",0,
random,2,"{""2023"": 1, ""2026"": 1}",2,"Both of these books are published next week by Penguin Random House (PRH), a company currently involved in a stand-off with Waterstones."
sections,2,"{""2023"": 2}",1,"The trade magazine The Bookseller reported that Waterstones branch managers were being told to remove PRH books from prominent areas such as tables, display spaces and windows, and were quietly retiring them to their relevant sections."
comment,2,"{""2023"": 1, ""2025"": 1}",1,"PRH declined to comment on the issue, but a spokesperson for Waterstones told me: Waterstones are currently operating with reduced credit terms from PRH, the only publisher in the UK to place any limitations on our ability to trade."
spokesperson,2,"{""2023"": 2}",1,"PRH declined to comment on the issue, but a spokesperson for Waterstones told me: Waterstones are currently operating with reduced credit terms from PRH, the only publisher in the UK to place any limitations on our ability to trade."
hopeful,2,"{""2023"": 1, ""2025"": 1}",1,We are hopeful with our shops now open again that normality will return and that we will be allowed to buy appropriately.
sales,2,"{""2023"": 2}",1,The sales for our May Books of the Month surpassed any month since 2018.
surpassed,2,"{""2023"": 1, ""2025"": 1}",1,The sales for our May Books of the Month surpassed any month since 2018.
big-name,2,"{""2023"": 2}",0,
mid-list,2,"{""2023"": 2}",0,
rely,2,"{""2023"": 1, ""2025"": 1}",1,"At the time of creation, no attempts were made at intentional preservation, yet analog materials have a chance of surviving and serving as the historical record that biographers, historians, and novelists rely on."
lesser-known,2,"{""2023"": 2}",0,
merger,2,"{""2023"": 2}",1,"It comes at a time when authors are already worried about the consequences of the proposed merger between PRH and another big publisher, Simon & Schuster—the reduction in the number of unaligned UK publishers is likely to lead to fewer bidding wars, lower advances, and more conformity in terms of what is published."
andrew,2,"{""2023"": 1, ""2025"": 1}",1,"This is all part of a wider change towards concentration of power, says literary agent Andrew Lownie."
plurality,2,"{""2023"": 2}",2,"The publishing industry talks about diversity in terms of authors and staff but it also needs a plurality of ways of delivering intellectual contact, choice and different voices."
conflict,2,"{""2023"": 1, ""2026"": 1}",1,"Stand in the shoes of scientists and witness the degree to which breakthroughs emerge from accidents, conflict and sheer mental stamina."
prh's,2,"{""2023"": 2}",0,
arrange,2,"{""2023"": 1, ""2026"": 1}",0,
removed,2,"{""2023"": 1, ""2024"": 1}",1,"To those of you in the comments section who are having strong feelings about artifacts being removed from cities in the US and Britain and returned to their countries of origin, I would ask you to consider: why do you think Americans have more of a right to easily access the Benin Bronzes than the people of Nigeria?"
factor,2,"{""2023"": 1, ""2024"": 1}",1,New research suggests that smell is a crucial factor in guiding elephants—and probably other herbivores—to the best food resources.
prestige,2,"{""2023"": 2}",2,"The careers of scientists and the reputation of their institutions depend on the number and prestige of the papers they produce, but even more so on the citations attracted by these papers."
recognize,2,"{""2023"": 1, ""2024"": 1}",1,"In 2016, researchers developed an algorithm to recognize suspicious citation patterns, including groups of authors that disproportionately cite one another and groups of journals that cite each other frequently to increase the impact factors of their publications."
suspicious,2,"{""2023"": 2}",2,"In 2016, researchers developed an algorithm to recognize suspicious citation patterns, including groups of authors that disproportionately cite one another and groups of journals that cite each other frequently to increase the impact factors of their publications."
patterns,2,"{""2023"": 2}",2,"In 2016, researchers developed an algorithm to recognize suspicious citation patterns, including groups of authors that disproportionately cite one another and groups of journals that cite each other frequently to increase the impact factors of their publications."
predatory,2,"{""2023"": 2}",1,"Recently, another expression of this predatory behavior has emerged: so-called support service consultancies that provide language and other editorial support to individual authors and to journals sometimes advise contributors to add a number of citations to their articles."
emerged,2,"{""2023"": 1, ""2025"": 1}",1,"Recently, another expression of this predatory behavior has emerged: so-called support service consultancies that provide language and other editorial support to individual authors and to journals sometimes advise contributors to add a number of citations to their articles."
consultancies,2,"{""2023"": 2}",2,"Recently, another expression of this predatory behavior has emerged: so-called support service consultancies that provide language and other editorial support to individual authors and to journals sometimes advise contributors to add a number of citations to their articles."
advise,2,"{""2023"": 2}",2,"Recently, another expression of this predatory behavior has emerged: so-called support service consultancies that provide language and other editorial support to individual authors and to journals sometimes advise contributors to add a number of citations to their articles."
add,2,"{""2023"": 2}",2,"Recently, another expression of this predatory behavior has emerged: so-called support service consultancies that provide language and other editorial support to individual authors and to journals sometimes advise contributors to add a number of citations to their articles."
milk,2,"{""2023"": 2}",2,These journals can act as milk cows where every single article in an issue may cite a specific paper or a series of papers.
absolutely,2,"{""2023"": 1, ""2024"": 1}",2,"In some instances, there is absolutely no relationship between the content of the article and the citations."
database,2,"{""2023"": 1, ""2026"": 1}",2,"The problem is rampant in Scopus, a citation database, which includes a high number of the new international journals."
contain,2,"{""2023"": 1, ""2026"": 1}",0,
recommend,2,"{""2023"": 1, ""2026"": 1}",1,The support service consultancies tend to recommend journals to their clients. list citation patterns for their clients. ask authors to include extra citations. advise contributors to cite each other.
apology,2,"{""2023"": 1, ""2024"": 1}",1,I make no apology for being obsessed by a particular feature of these objects: their price.
professional,2,"{""2023"": 1, ""2025"": 1}",1,These groups of people are part of a rapidly expanding biotechnological social movement of citizen scientists and professional scientists seeking to take discovery out of institutions and put it into the hands of anyone with the enthusiasm.
reveal,2,"{""2023"": 1, ""2026"": 1}",0,
faithful,2,"{""2023"": 2}",1,"Despite these challenges, Jackson captured dozens of striking photos, ranging from majestic images like his now-famous snapshot of Old Faithful, to casual portraits of expedition members at the camp."
ferdinand,2,"{""2023"": 1, ""2025"": 1}",1,"They were split into target and control groups and asked to write, for example, a message in a bottle as Ferdinand following the shipwreck in The Tempest."
agricultural,2,"{""2023"": 1, ""2024"": 1}",2,"The team included a meteorologist, a zoologist, a mineralogist, and an agricultural statistician."
vivid,2,"{""2023"": 2}",2,One of the turning points in public support for land conservation efforts—and recognizing the magnificence of the Yellowstone region in particular—came in the form of vivid photographs.
stunning,2,"{""2023"": 2}",1,"While veterans of previous expeditions had written at length about stunning sights, these vivid photographs were another thing entirely."
hit,2,"{""2023"": 1, ""2024"": 1}",0,
chemical,2,"{""2023"": 1, ""2025"": 1}",2,"Throughout the trip, Jackson juggled multiple cameras and plate sizes using the collodion process that involved coating the plates with a chemical mixture, exposing them and developing the resulting images with a portable darkroom."
educated,2,"{""2023"": 1, ""2026"": 1}",2,"The crude technique required educated guesses on exposure times, and involved heavy, awkward equipment—several men had to assist in its transportation."
striking,2,"{""2023"": 1, ""2026"": 1}",2,"Despite these challenges, Jackson captured dozens of striking photos, ranging from majestic images like his now-famous snapshot of Old Faithful, to casual portraits of expedition members at the camp."
photos,2,"{""2023"": 2}",1,"Despite these challenges, Jackson captured dozens of striking photos, ranging from majestic images like his now-famous snapshot of Old Faithful, to casual portraits of expedition members at the camp."
native,2,"{""2023"": 1, ""2025"": 1}",1,"In recent summers, he has travelled the length and breadth of Britain to photograph all 58 native species of butterfly."
riches,2,"{""2023"": 1, ""2025"": 1}",1,"The result is an embarrassment of historical riches, which brings its own needle-and-haystack problems."
proved,2,"{""2023"": 1, ""2026"": 1}",2,The bill proved largely popular and sailed through Congress with large majorities in favor.
locals,2,"{""2023"": 1, ""2024"": 1}",0,
frame,2,"{""2023"": 1, ""2025"": 1}",1,"Peters' signature shot is a butterfly take-off, showing the multiple wing-beats of one butterfly in one frame as it lifts off from a flower."
importantly,2,"{""2023"": 1, ""2025"": 1}",2,"Perhaps most importantly, these images provided documentary evidence that later made its way to government officials."
copy,2,"{""2023"": 1, ""2026"": 1}",1,"For example, AI can be used to analyse what type of advertising content or copy would be appropriate to speak to a specific target customer group by revealing information about trends and preferences through the analysis of big data."
customer,2,"{""2023"": 2}",2,"For example, AI can be used to analyse what type of advertising content or copy would be appropriate to speak to a specific target customer group by revealing information about trends and preferences through the analysis of big data."
revealing,2,"{""2023"": 1, ""2024"": 1}",1,"For example, AI can be used to analyse what type of advertising content or copy would be appropriate to speak to a specific target customer group by revealing information about trends and preferences through the analysis of big data."
regarding,2,"{""2023"": 1, ""2024"": 1}",1,"AI can also be used to identify the lifestyle choices of customers regarding their hobbies, favourite celebrities, and fashions to provide unique content in marketing messages put out through social media."
chat,2,"{""2023"": 1, ""2026"": 1}",1,At the same time Al can also be used to generate content for social media posts and chat sites.
subsequent,2,"{""2023"": 1, ""2026"": 1}",2,"The main disadvantage of using AI to respond to customers is that there are concerns about trusting personal interactions to machines, which could lead not only to the subsequent loss of interpersonal connections, but also to a decrease in marketing personnel."
interpersonal,2,"{""2023"": 1, ""2026"": 1}",1,"The main disadvantage of using AI to respond to customers is that there are concerns about trusting personal interactions to machines, which could lead not only to the subsequent loss of interpersonal connections, but also to a decrease in marketing personnel."
brand,2,"{""2023"": 2}",1,By allowing AI to develop content some brand marketers may find that they are losing control over the brand narrative.
simulate,2,"{""2023"": 1, ""2026"": 1}",2,"Algorithms used to simulate human interactions are creating many of these concerns, especially as no-one is quite sure what the outcomes of using AI to interact with customers will be."
non-intrusive,2,"{""2023"": 2}",2,"Not only can AI help to create the marketing content, but it can also provide a non-intrusive way of delivering the content to the target customers."
location,2,"{""2023"": 1, ""2025"": 1}",2,"Data can be gathered on where the customer can be engaged, such as location, devices used, website interactions, and sites visited, to display marketing messages in appropriate forms, including emails, social media posts, pop-up advertisements, and banners at an appropriate frequency."
website,2,"{""2023"": 1, ""2024"": 1}",1,"Data can be gathered on where the customer can be engaged, such as location, devices used, website interactions, and sites visited, to display marketing messages in appropriate forms, including emails, social media posts, pop-up advertisements, and banners at an appropriate frequency."
frequency,2,"{""2023"": 1, ""2026"": 1}",2,"Data can be gathered on where the customer can be engaged, such as location, devices used, website interactions, and sites visited, to display marketing messages in appropriate forms, including emails, social media posts, pop-up advertisements, and banners at an appropriate frequency."
emerge,2,"{""2024"": 1, ""2026"": 1}",2,"Stand in the shoes of scientists and witness the degree to which breakthroughs emerge from accidents, conflict and sheer mental stamina."
feature,2,"{""2024"": 2}",2,I make no apology for being obsessed by a particular feature of these objects: their price.
grown,2,"{""2024"": 1, ""2025"": 1}",2,The rise of citizen science has grown alongside the rise of do-it-yourself biology laboratories around the world.
obstacles,2,"{""2024"": 1, ""2025"": 1}",2,"They pool resources, collaborate, think outside the box, and find solutions and ways around obstacles to explore science for the sake of science without the traditional boundaries of working inside a formal setting."
peoples,2,"{""2024"": 2}",2,"Stealing artifacts from other peoples' cultures is obscene; it robs not only the physical objects, but the dignity and spirit of their creators."
side,2,"{""2024"": 1, ""2026"": 1}",0,
inside,2,"{""2024"": 1, ""2025"": 1}",2,"They pool resources, collaborate, think outside the box, and find solutions and ways around obstacles to explore science for the sake of science without the traditional boundaries of working inside a formal setting."
sound,2,"{""2024"": 1, ""2025"": 1}",2,"That makes it sound easy, and artificial, but Peters insists it is still a massive challenge."
movement,2,"{""2024"": 1, ""2025"": 1}",2,These groups of people are part of a rapidly expanding biotechnological social movement of citizen scientists and professional scientists seeking to take discovery out of institutions and put it into the hands of anyone with the enthusiasm.
improving,2,"{""2024"": 1, ""2026"": 1}",1,"Without the need to be touched to open or close, automatic doors are essential in improving disabled access to buildings and helping provide general convenience to commercial buildings."
connected,2,"{""2024"": 1, ""2025"": 1}",0,
relying,2,"{""2024"": 1, ""2026"": 1}",1,"There are many different types of automatic door, with each relying on specific signals to tell them when to open."
principles,2,"{""2024"": 1, ""2026"": 1}",2,"The development in 1915 of the popular new subject general science was another effort to train students to apply the principles of science to everyday, nonscience problems."
conclusion,2,"{""2024"": 2}",0,
impressive,2,"{""2024"": 2}",1,"The tool, along with other popular image-generation AI models, allows anyone to create impressive images based on text prompts."
pull,2,"{""2024"": 1, ""2026"": 1}",2,"Nearly 2,000 years ago, as the Romans began to pull out of Scotland, they left behind a curious treasure: 10 tons of nails, nearly a million of the things."
curious,2,"{""2024"": 2}",2,"Nearly 2,000 years ago, as the Romans began to pull out of Scotland, they left behind a curious treasure: 10 tons of nails, nearly a million of the things."
tons,2,"{""2024"": 2}",1,"Nearly 2,000 years ago, as the Romans began to pull out of Scotland, they left behind a curious treasure: 10 tons of nails, nearly a million of the things."
covered,2,"{""2024"": 1, ""2025"": 1}",2,The nail hoard was discovered in 1960 in a four-metre-deep pit covered by two metres of gravel.
deep,2,"{""2024"": 1, ""2026"": 1}",1,The Romans buried the nails so deep that they would not be discovered for almost two millennia.
raw,2,"{""2024"": 2}",0,
virginians,2,"{""2024"": 2}",1,"As Roma Agrawal explains in her new delightful book Nuts and Bolts, early 17th-century Virginians would sometimes burn down their homes if they were planning to relocate."
burn,2,"{""2024"": 2}",2,"As Roma Agrawal explains in her new delightful book Nuts and Bolts, early 17th-century Virginians would sometimes burn down their homes if they were planning to relocate."
homes,2,"{""2024"": 2}",2,"As Roma Agrawal explains in her new delightful book Nuts and Bolts, early 17th-century Virginians would sometimes burn down their homes if they were planning to relocate."
recover,2,"{""2024"": 1, ""2026"": 1}",1,"This was an attempt to recover the valuable nails, which could be reused after sifting the ashes."
entire,2,"{""2024"": 1, ""2026"": 1}",2,"The idea that one might burn down an entire house just to reclaim the nails underlines how scarce, costly and valuable the simple-seeming technology was."
studied,2,"{""2024"": 2}",0,
cars,2,"{""2024"": 2}",2,"Roman lamps and Roman chariots are very different from LED strips and sports cars, but Roman nails are still clearly nails."
track,2,"{""2024"": 1, ""2025"": 1}",1,"It would be absurd to try to track the changing price of sports cars since 1695, but to ask the same question of nails makes perfect sense."
achieved,2,"{""2024"": 1, ""2025"": 1}",1,"The Gutenberg printing press transformed civilisation not by changing the nature of writing but by changing its cost—and it would have achieved little without a parallel collapse in the price of surfaces to write on, thanks to an often-overlooked technology called paper."
solar,2,"{""2024"": 1, ""2025"": 1}",1,Solar panels had few niche uses until they became cheap; now they are transforming the global energy system.
niche,2,"{""2024"": 1, ""2026"": 1}",2,Solar panels had few niche uses until they became cheap; now they are transforming the global energy system.
sake,2,"{""2024"": 1, ""2025"": 1}",1,"They pool resources, collaborate, think outside the box, and find solutions and ways around obstacles to explore science for the sake of science without the traditional boundaries of working inside a formal setting."
colonists,2,"{""2024"": 1, ""2026"": 1}",0,
products,2,"{""2024"": 1, ""2025"": 1}",0,
integral,2,"{""2024"": 1, ""2025"": 1}",0,
hunter-gatherers,2,"{""2024"": 2}",1,"Parenting tips obtained from hunter-gatherers in Africa may be the key to bringing up more contented children, researchers have suggested."
suggested,2,"{""2024"": 1, ""2025"": 1}",1,"Parenting tips obtained from hunter-gatherers in Africa may be the key to bringing up more contented children, researchers have suggested."
kung,2,"{""2024"": 2}",2,"The idea is based on studies of communities such as the Kung of Botswana, where each child is cared for by many adults."
adults,2,"{""2024"": 2}",1,"The idea is based on studies of communities such as the Kung of Botswana, where each child is cared for by many adults."
scheme,2,"{""2024"": 2}",0,
nursery,2,"{""2024"": 2}",1,An infant born to a hunter-gatherer society could have more than ten caregivers—this contrasts starkly to nursery settings in the UK where regulations call for a ratio of one carer to four children aged two to three.
playgroups,2,"{""2024"": 2}",2,"Another measure could be encouraging friendships between children in different school years, to mirror the unsupervised mixed-age playgroups in hunter-gatherer communities."
mothering,2,"{""2024"": 2}",1,"This abrupt shift to an intensive mothering narrative, which suggests that mothers should manage childcare alone, was likely to have been harmful."
narratives,2,"{""2024"": 1, ""2026"": 1}",1,"Such narratives can lead to maternal exhaustion and have dangerous consequences, they wrote."
maternal,2,"{""2024"": 2}",1,"Such narratives can lead to maternal exhaustion and have dangerous consequences, they wrote."
child's,2,"{""2024"": 2}",0,
networks,2,"{""2024"": 1, ""2026"": 1}",1,"With multiple networks and countless podcasts, a smartphone user selects what to hear and when."
introducing,2,"{""2024"": 1, ""2026"": 1}",0,
additional,2,"{""2024"": 1, ""2026"": 1}",1,"Georgia offers up to 30% in transferable tax credits on film and TV production costs, plus an additional 10% increase on the base tax credit if the project includes a Georgia promotional logo."
depression,2,"{""2024"": 2}",0,
ten,2,"{""2024"": 1, ""2025"": 1}",2,An infant born to a hunter-gatherer society could have more than ten caregivers—this contrasts starkly to nursery settings in the UK where regulations call for a ratio of one carer to four children aged two to three.
ratio,2,"{""2024"": 2}",1,An infant born to a hunter-gatherer society could have more than ten caregivers—this contrasts starkly to nursery settings in the UK where regulations call for a ratio of one carer to four children aged two to three.
aged,2,"{""2024"": 1, ""2025"": 1}",2,An infant born to a hunter-gatherer society could have more than ten caregivers—this contrasts starkly to nursery settings in the UK where regulations call for a ratio of one carer to four children aged two to three.
imitation,2,"{""2024"": 1, ""2026"": 1}",1,"While hunter-gatherer children learnt from observation and imitation in mixed-age playgroups, researchers said that western instructive teaching, where pupils are asked to sit still, may contribute to conditions such as attention deficit hyperactivity disorder."
instructive,2,"{""2024"": 2}",1,"While hunter-gatherer children learnt from observation and imitation in mixed-age playgroups, researchers said that western instructive teaching, where pupils are asked to sit still, may contribute to conditions such as attention deficit hyperactivity disorder."
